# The 14 Orion Quadruplets
# Q(n) = n^47 - (n-1)^47
# These are consecutive integers (n, n+1, n+2, n+3) where all four Q values are prime

Index,Starting_n,n+1,n+2,n+3,Approx_Digits,n_in_Billions
1,117309848,117309849,117309850,117309851,380,0.117
2,136584738,136584739,136584740,136584741,385,0.137
3,218787064,218787065,218787066,218787067,390,0.219
4,411784485,411784486,411784487,411784488,400,0.412
5,423600750,423600751,423600752,423600753,401,0.424
6,523331634,523331635,523331636,523331637,405,0.523
7,640399031,640399032,640399033,640399034,408,0.640
8,987980498,987980499,987980500,987980501,415,0.988
9,1163461515,1163461516,1163461517,1163461518,420,1.163
10,1370439187,1370439188,1370439189,1370439190,423,1.370
11,1643105964,1643105965,1643105966,1643105967,426,1.643
12,1691581855,1691581856,1691581857,1691581858,427,1.692
13,1975860550,1975860551,1975860552,1975860553,429,1.976
14,1996430175,1996430176,1996430177,1996430178,430,1.996
